dataset,fold,case,label_1_hd95,label_1_esd_mm,label_1_density_hu,label_2_hd95,label_2_esd_mm,label_2_density_hu,label_3_hd95,label_3_esd_mm,label_3_density_hu,label_4_hd95,label_4_esd_mm,label_4_density_hu
KidneyAbnormalities,fold_0,cyst_010.nii.gz,1.0496123026733577,74.49565037647756,110.88749248518508,1.9405854714097333,4.4936175144302295,33.21739130434783,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_0,cyst_011.nii.gz,1.1131402474338283,76.94228388573765,118.88686057913979,1.1131402474338283,10.077723075943497,24.890173410404625,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_0,cyst_016.nii.gz,1.0496123026733577,84.01295093200778,77.66985274549809,62.187014004969384,8.339229701300082,16.303854875283445,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_0,cyst_018.nii.gz,1.115902214710444,72.83657545672669,110.70327159425307,91.5416472788437,10.611983700940248,18.78731343283582,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_0,cyst_020.nii.gz,0.9702927357048666,77.72478548069526,102.48407753911474,1.7733696638908003,38.304767609721935,14.19860313300654,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_0,cyst_030.nii.gz,0.8100000023841858,79.35240506614346,26.437208077591016,1.4894965605406347,14.277178201395847,11.68837459634015,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_0,cyst_033.nii.gz,1.4843759536743164,81.71265718420761,88.74074806091312,37.47741652756811,31.08776263132351,18.16220948045695,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_0,cyst_035.nii.gz,0.8984379768371582,80.60816135720958,29.375264900662252,1.25,10.026047565468096,12.67112810707457,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_0,cyst_040.nii.gz,1.1241894652394442,87.47512809531942,98.249898581036,45.13470768614926,10.936033660847173,38.72895040369089,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_0,cyst_047.nii.gz,1.0910431605217485,79.93893195678551,94.67705676353026,102.21330326988118,9.16617577647384,14.42619926199262,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_0,multi_000.nii.gz,1.87890625,97.7573822791389,138.45983411488547,1.3720685748432058,42.98945789858123,11.344443501506344,0.0,0.0,,1.3720685748432058,41.143095766920624,48.95200638946706
KidneyAbnormalities,fold_0,multi_002.nii.gz,22.794768499532204,93.44036747827428,80.21107694036034,30.218588922302082,37.67490110118721,14.858958794544026,0.0,0.0,,94.80352067845897,105.65203997728592,79.98082994673186
KidneyAbnormalities,fold_0,multi_003.nii.gz,1.41015625,91.40138213617591,168.61611172867597,7.3752288782843936,14.07537373884397,53.50357507660878,0.0,0.0,,62.028335279886356,33.54909351561803,145.92894319981897
KidneyAbnormalities,fold_0,multi_004.nii.gz,2.5,105.37647141010609,172.80976034940065,18.71872391483992,36.64655147036939,2.7766471068855383,0.0,0.0,,39.6173099793512,80.34815002518327,83.90976489823532
KidneyAbnormalities,fold_0,multi_005.nii.gz,0.89453125,95.10906281761157,135.52295434178072,190.62484129243913,14.769110486597013,16.810009487666033,0.0,0.0,,1.8576179986494128,19.66947263926819,72.73441108545035
