dataset,fold,case,label_1_hd95,label_1_esd_mm,label_1_density_hu
KidneyTumor,fold_0,neg_010.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_011.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_016.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_018.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_020.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_030.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_033.nii.gz,,22.04240587768353,33.82330550098232
KidneyTumor,fold_0,neg_035.nii.gz,,6.933905184600907,49.74566473988439
KidneyTumor,fold_0,neg_040.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_047.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_050.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_052.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_053.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_054.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_055.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_057.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_067.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_071.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_073.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_085.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_087.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_097.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_099.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_100.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_101.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_112.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_113.nii.gz,0.0,0.0,
KidneyTumor,fold_0,neg_120.nii.gz,0.0,0.0,
KidneyTumor,fold_0,tumor_002.nii.gz,2.158502701210451,26.814310423056437,77.18754530955488
KidneyTumor,fold_0,tumor_003.nii.gz,4.0,49.33410347691487,107.72143469324293
KidneyTumor,fold_0,tumor_005.nii.gz,6.949534931677196,19.886508053051728,169.677561016806
KidneyTumor,fold_0,tumor_007.nii.gz,11.992693902174357,131.48521922188107,5.24797766229737
KidneyTumor,fold_0,tumor_009.nii.gz,2.5,32.55763846109945,91.58193522226165
KidneyTumor,fold_0,tumor_019.nii.gz,2.104508274662991,22.00071563463795,38.610294569829655
KidneyTumor,fold_0,tumor_020.nii.gz,8.520055111988896,47.24202263240617,119.2260871870671
KidneyTumor,fold_0,tumor_022.nii.gz,3.671916555615916,101.93613117729709,50.030615874607264
KidneyTumor,fold_0,tumor_036.nii.gz,3.4676522932320957,50.3661650978389,102.43544922664893
KidneyTumor,fold_0,tumor_037.nii.gz,4.9451782786880205,66.0728844252509,85.32080961298668
KidneyTumor,fold_0,tumor_038.nii.gz,3.8222531497305354,64.74989205020441,77.97336426575214
KidneyTumor,fold_0,tumor_042.nii.gz,123.82376528736656,71.28727224277436,69.44337838708984
KidneyTumor,fold_0,tumor_058.nii.gz,180.0748665981599,43.126491907053364,40.347496483246125
KidneyTumor,fold_0,tumor_059.nii.gz,5.8125455042714895,20.566148651034617,78.03316326530613
KidneyTumor,fold_0,tumor_086.nii.gz,4.678957466664291,37.65126858680394,87.50128736146871
KidneyTumor,fold_0,tumor_090.nii.gz,1.3258252147247767,31.791732489062564,63.38511166253102
KidneyTumor,fold_0,tumor_092.nii.gz,323.3073124155785,29.68443010330894,79.39471485272614
KidneyTumor,fold_0,tumor_096.nii.gz,6.180317465973181,55.93406157215948,77.20816179775281
KidneyTumor,fold_0,tumor_098.nii.gz,224.30318690162213,38.562091973627695,42.44056525353283
KidneyTumor,fold_0,tumor_100.nii.gz,3.6301317393880486,31.521203752139105,52.751600267507406
KidneyTumor,fold_0,tumor_102.nii.gz,5.516410620395521,44.7612505395842,55.944463460551084
KidneyTumor,fold_0,tumor_104.nii.gz,195.77348176558937,36.39383929149711,43.17061636556854
KidneyTumor,fold_0,tumor_107.nii.gz,417.3913977386153,48.78027420252934,86.90277271966691
KidneyTumor,fold_0,tumor_108.nii.gz,241.6694275831935,59.35840638189556,26.253368064773028
KidneyTumor,fold_0,tumor_117.nii.gz,4.941058844013093,35.04532244782738,71.74415014624634
KidneyTumor,fold_0,tumor_119.nii.gz,54.255834793674495,34.20176145606146,41.32214670065137
KidneyTumor,fold_0,tumor_133.nii.gz,657.4445970175609,66.67323614836357,14.239858738188413
KidneyTumor,fold_0,tumor_140.nii.gz,14.32157616833121,34.52888989608267,93.59570122544253
KidneyTumor,fold_0,tumor_152.nii.gz,9.675169351362232,89.65306076415004,91.14415437366974
KidneyTumor,fold_0,tumor_157.nii.gz,132.5305527233071,65.10518305690998,93.13270036592475
KidneyTumor,fold_1,neg_009.nii.gz,0.0,0.0,
